sl no,Detection Name,Category,TTP,Severity
2567,Suspicious Persistence Via VMwareToolBoxCmd.EXE VM State Change Script,windows,T1059,high
2568,Suspicious Ping/Del Command Combination,windows,T1070.004,high
2569,Suspicious Plink Port Forwarding,windows,"T1572, T1021.001",high
2570,Suspicious Powercfg Execution To Change Lock Screen Timeout,windows,,medium
2571,Suspicious PowerShell Download - PoshModule,windows,T1059.001,medium
2572,Suspicious PowerShell Download - Powershell Script,windows,T1059.001,medium
2573,Suspicious PowerShell Download and Execute Pattern,windows,T1059.001,high
2574,Suspicious PowerShell Encoded Command Patterns,windows,T1059.001,high
2575,Suspicious PowerShell Get Current User,windows,T1033,low
2576,Suspicious PowerShell IEX Execution Patterns,windows,T1059.001,high
2577,Suspicious PowerShell In Registry Run Keys,windows,T1547.001,medium
2578,Suspicious PowerShell Invocation From Script Engines,windows,T1059.001,medium
2579,Suspicious PowerShell Invocations - Generic,windows,T1059.001,high
2580,Suspicious PowerShell Invocations - Generic - PowerShell Module,windows,T1059.001,high
2581,Suspicious PowerShell Invocations - Specific,windows,T1059.001,high
2582,Suspicious PowerShell Invocations - Specific - PowerShell Module,windows,T1059.001,high
2583,Suspicious PowerShell Invocations - Specific - ProcessCreation,windows,,medium
2584,Suspicious PowerShell Mailbox Export to Share,windows,,critical
2585,Suspicious PowerShell Mailbox Export to Share - PS,windows,,critical
2586,Suspicious PowerShell Parameter Substring,windows,T1059.001,high
2587,Suspicious PowerShell Parent Process,windows,T1059.001,high
2588,Suspicious PowerShell WindowStyle Option,windows,T1564.003,medium
2589,Suspicious Printer Driver Empty Manufacturer,windows,T1574,high
2590,Suspicious Process Access of MsMpEng by WerFaultSecure - EDR-Freeze,windows,T1685,high
2591,Suspicious Process Access to LSASS with Dbgcore/Dbghelp DLLs,windows,"T1003.001, T1685",high
2592,Suspicious Process By Web Server Process,windows,"T1505.003, T1190",high
2593,Suspicious Process Created Via Wmic.EXE,windows,T1047,high
2594,Suspicious Process Discovery With Get-Process,windows,T1057,low
2595,Suspicious Process Execution From Fake Recycle.Bin Folder,windows,,high
2596,Suspicious Process Masquerading As SvcHost.EXE,windows,T1036.005,high
2597,Suspicious Process Parents,windows,T1036,high
2598,Suspicious Process Patterns NTDS.DIT Exfil,windows,T1003.003,high
2599,Suspicious Process Start Locations,windows,T1036,medium
2600,Suspicious Processes Spawned by Java.EXE,windows,,high
2601,Suspicious Processes Spawned by WinRM,windows,T1190,high
2602,Suspicious PROCEXP152.sys File Created In TMP,windows,T1685,medium
2603,Suspicious Program Location Whitelisted In Firewall Via Netsh.EXE,windows,T1686.003,high
2604,Suspicious Program Names,windows,T1059,high
2605,Suspicious Provlaunch.EXE Child Process,windows,T1218,high
2606,Suspicious PsExec Execution,windows,T1021.002,high
2607,Suspicious Query of MachineGUID,windows,T1082,low
2608,Suspicious RASdial Activity,windows,T1059,medium
2609,Suspicious RDP Redirect Using TSCON,windows,"T1563.002, T1021.001",high
2610,Suspicious Reconnaissance Activity Using Get-LocalGroupMember Cmdlet,windows,T1087.001,medium
2611,Suspicious Reconnaissance Activity Via GatherNetworkInfo.VBS,windows,"T1615, T1059.005",high
2612,Suspicious Recursive Takeown,windows,T1222.001,medium
2613,Suspicious Redirection to Local Admin Share,windows,T1048,high
2614,Suspicious Reg Add BitLocker,windows,T1486,high
2615,Suspicious Registry Modification From ADS Via Regini.EXE,windows,T1112,high
2616,Suspicious Regsvr32 Execution From Remote Share,windows,T1218.010,high
2617,Suspicious Rejected SMB Guest Logon From IP,windows,T1110.001,medium
2618,Suspicious Remote Child Process From Outlook,windows,"T1059, T1202",high
2619,Suspicious Remote Logon with Explicit Credentials,windows,T1078,medium
2620,Suspicious Renamed Comsvcs DLL Loaded By Rundll32,windows,T1003.001,high
2621,Suspicious Response File Execution Via Odbcconf.EXE,windows,T1218.008,high
2622,Suspicious Run Key from Download,windows,T1547.001,high
2623,Suspicious RunAs-Like Flag Combination,windows,,medium
2624,Suspicious Rundll32 Activity Invoking Sys File,windows,T1218.011,high
2625,Suspicious Rundll32 Execution With Image Extension,windows,T1218.011,high
2626,Suspicious Rundll32 Invoking Inline VBScript,windows,T1055,high
2627,Suspicious Rundll32 Setupapi.dll Activity,windows,T1218.011,medium
2628,Suspicious Runscripthelper.exe,windows,"T1059, T1202",medium
2629,Suspicious Scan Loop Network,windows,"T1059, T1018",medium
2630,Suspicious Scheduled Task Creation,windows,T1053.005,high
2631,Suspicious Scheduled Task Creation Involving Temp Folder,windows,T1053.005,high
2632,Suspicious Scheduled Task Creation via Masqueraded XML File,windows,"T1036.005, T1053.005",medium
2633,Suspicious Scheduled Task Name As GUID,windows,T1053.005,medium
2634,Suspicious Scheduled Task Update,windows,T1053.005,high
2635,Suspicious Scheduled Task Write to System32 Tasks,windows,T1053,high
2636,Suspicious Schtasks Execution AppData Folder,windows,"T1053.005, T1059.001",high
2637,Suspicious Schtasks Schedule Type With High Privileges,windows,T1053.005,medium
2638,Suspicious Schtasks Schedule Types,windows,T1053.005,high
2639,Suspicious ScreenSave Change by Reg.exe,windows,T1546.002,medium
2640,Suspicious Screensaver Binary File Creation,windows,T1546.002,medium
2641,Suspicious Scripting in a WMI Consumer,windows,T1059.005,high
2642,Suspicious Serv-U Process Pattern,windows,T1555,high
2643,Suspicious Service Binary Directory,windows,T1202,high
2644,Suspicious Service DACL Modification Via Set-Service Cmdlet,windows,T1543.003,high
2645,Suspicious Service DACL Modification Via Set-Service Cmdlet - PS,windows,T1574.011,high
2646,Suspicious Service Installation,windows,T1543.003,high
2647,Suspicious Service Installation Script,windows,T1543.003,high
2648,Suspicious Service Installed,windows,T1685,medium
2649,Suspicious Service Path Modification,windows,T1543.003,high
2650,Suspicious Shell Open Command Registry Modification,windows,"T1548.002, T1546.001",medium
2651,Suspicious ShellExec_RunDLL Call Via Ordinal,windows,T1218.011,high
2652,Suspicious Shells Spawn by Java Utility Keytool,windows,,high
2653,Suspicious Shim Database Patching Activity,windows,T1546.011,high
2654,Suspicious Space Characters in RunMRU Registry Path - ClickFix,windows,"T1204.004, T1027.010",high
2655,Suspicious Space Characters in TypedPaths Registry Path - FileFix,windows,"T1204.004, T1027.010",high
2656,Suspicious Speech Runtime Binary Child Process,windows,"T1021.003, T1218",high
2657,Suspicious Splwow64 Without Params,windows,T1202,high
2658,Suspicious Spool Service Child Process,windows,"T1203, T1068",high
2659,Suspicious SSL Connection,windows,T1573,low
2660,Suspicious Start-Process PassThru,windows,T1036.003,medium
2661,Suspicious Startup Folder Persistence,windows,"T1204.002, T1547.001",high
2662,Suspicious Svchost Process Access,windows,T1685.001,high
2663,Suspicious SysAidServer Child,windows,T1210,medium
2664,Suspicious SYSTEM User Process Creation,windows,"T1134, T1003, T1027",high
2665,Suspicious SYSVOL Domain Group Policy Access,windows,T1552.006,medium
2666,Suspicious TCP Tunnel Via PowerShell Script,windows,T1090,medium
2667,Suspicious Teams Application Related ObjectAcess Event,windows,T1528,high
2668,Suspicious TSCON Start as SYSTEM,windows,T1219.002,high
2669,Suspicious UltraVNC Execution,windows,T1021.005,high
2670,Suspicious Unblock-File,windows,T1553.005,medium
2671,Suspicious Uninstall of Windows Defender Feature via PowerShell,windows,T1685,high
2672,Suspicious Unsigned Dbghelp/Dbgcore DLL Loaded,windows,T1003.001,high
2673,Suspicious Unsigned Thor Scanner Execution,windows,T1574.001,high
2674,Suspicious Usage Of Active Directory Diagnostic Tool (ntdsutil.exe),windows,T1003.003,medium
2675,Suspicious Usage of For Loop with Recursive Directory Search in CMD,windows,"T1059.003, T1027.010",medium
2676,Suspicious Usage Of ShellExec_RunDLL,windows,,high
2677,Suspicious Use of CSharp Interactive Console,windows,T1127,high
2678,Suspicious Use of PsLogList,windows,"T1087, T1087.001, T1087.002",medium
2679,Suspicious Userinit Child Process,windows,T1055,medium
2680,Suspicious VBoxDrvInst.exe Parameters,windows,T1112,medium
2681,Suspicious Velociraptor Child Process,windows,T1219,high
2682,Suspicious Volume Shadow Copy VSS_PS.dll Load,windows,T1490,high
2683,Suspicious Volume Shadow Copy Vssapi.dll Load,windows,T1490,high
2684,Suspicious Vsls-Agent Command With AgentExtensionPath Load,windows,T1218,medium
2685,Suspicious WebDav Client Execution Via Rundll32.EXE,windows,T1048.003,high
2686,Suspicious Where Execution,windows,T1217,low
2687,Suspicious Windows ANONYMOUS LOGON Local Account Created,windows,"T1136.001, T1136.002",high
2688,Suspicious Windows Defender Folder Exclusion Added Via Reg.EXE,windows,T1685,medium
2689,Suspicious Windows Defender Registry Key Tampering Via Reg.EXE,windows,T1685,high
2690,Suspicious Windows Service Tampering,windows,"T1489, T1685",high
2691,Suspicious Windows Trace ETW Session Tamper Via Logman.EXE,windows,"T1685, T1685.005",high
2692,Suspicious Windows Update Agent Empty Cmdline,windows,T1036,high
2693,Suspicious WindowsTerminal Child Processes,windows,,medium
2694,Suspicious WMIC Execution Via Office Process,windows,"T1204.002, T1047, T1218.010",high
2695,Suspicious WmiPrvSE Child Process,windows,"T1047, T1204.002, T1218.010",high
2696,Suspicious Wordpad Outbound Connections,windows,,medium
2697,Suspicious Workstation Locking via Rundll32,windows,,medium
2698,Suspicious WSMAN Provider Image Loads,windows,"T1059.001, T1021.003",medium
2699,Suspicious X509Enrollment - Process Creation,windows,T1553.004,medium
2700,Suspicious X509Enrollment - Ps Script,windows,T1553.004,medium
2701,Suspicious XOR Encoded PowerShell Command,windows,"T1059.001, T1140, T1027",medium
2702,Suspicious ZipExec Execution,windows,"T1218, T1202",medium
2703,SyncAppvPublishingServer Bypass Powershell Restriction - PS Module,windows,T1218,medium
2704,SyncAppvPublishingServer Execute Arbitrary PowerShell Code,windows,T1218,medium
2705,SyncAppvPublishingServer Execution to Bypass Powershell Restriction,windows,T1218,medium
2706,SyncAppvPublishingServer VBS Execute Arbitrary PowerShell Code,windows,"T1218, T1216",medium
2707,Sysinternals PsService Execution,windows,T1543.003,medium
2708,Sysinternals PsSuspend Execution,windows,T1543.003,medium
2709,Sysinternals PsSuspend Suspicious Execution,windows,T1685,high
2710,Sysinternals Tools AppX Versions Execution,windows,,low
2711,SysKey Registry Keys Access,windows,T1012,high
2712,Sysmon Application Crashed,windows,T1685,high
2713,Sysmon Blocked Executable,windows,,high
2714,Sysmon Blocked File Shredding,windows,,high
2715,Sysmon Channel Reference Deletion,windows,T1112,high
2716,Sysmon Configuration Change,windows,,medium
2717,Sysmon Configuration Error,windows,T1564,high
2718,Sysmon Configuration Modification,windows,T1564,high
2719,Sysmon Configuration Update,windows,T1685,medium
2720,Sysmon Discovery Via Default Driver Altitude Using Findstr.EXE,windows,T1518.001,high
2721,Sysmon Driver Altitude Change,windows,T1685,high
2722,Sysmon Driver Unloaded Via Fltmc.EXE,windows,"T1070, T1685, T1685.001",high
2723,Sysmon File Executable Creation Detected,windows,,medium
2724,Sysprep on AppData Folder,windows,T1059,medium
2725,System Control Panel Item Loaded From Uncommon Location,windows,T1574.001,high
2726,System Disk And Volume Reconnaissance Via Wmic.EXE,windows,"T1047, T1082",medium
2727,System File Execution Location Anomaly,windows,T1036,high
2728,System Information Discovery via Registry Queries,windows,T1082,low
2729,System Language Discovery via Reg.Exe,windows,T1614.001,medium
2730,System Network Connections Discovery Via Net.EXE,windows,T1049,low
2731,System Restore Registry Modification via CommandLine,windows,T1490,high
2732,System Scripts Autorun Keys Modification,windows,T1547.001,medium
2733,T1047 Wmiprvse Wbemcomn DLL Hijack,windows,"T1047, T1021.002",high
2734,TacticalRMM Service Installation,windows,T1219.002,medium
2735,Tamper Windows Defender - PSClassic,windows,T1685,high
2736,Tamper Windows Defender - ScriptBlockLogging,windows,T1685,high
2737,Tamper Windows Defender Remove-MpPreference,windows,T1685,high
2738,Tamper Windows Defender Remove-MpPreference - ScriptBlockLogging,windows,T1685,high
2739,Tamper With Sophos AV Registry Keys,windows,T1685,high
2740,Tap Driver Installation,windows,T1048,medium
2741,Tap Driver Installation - Security,windows,T1048,low
2742,Tap Installer Execution,windows,T1048,medium
2743,Taskkill Symantec Endpoint Protection,windows,T1685,high
2744,Taskmgr as LOCAL_SYSTEM,windows,T1036,high
2745,Tasks Folder Evasion,windows,T1574.001,high
2746,TeamViewer Domain Query By Non-TeamViewer Application,windows,T1219.002,medium
2747,TeamViewer Log File Deleted,windows,T1070.004,low
2748,TeamViewer Remote Session,windows,T1219.002,medium
2749,Terminal Server Client Connection History Cleared - Registry,windows,"T1070, T1112",high
2750,Terminal Service Process Spawn,windows,"T1190, T1210",high
2751,Testing Usage of Uncommonly Used Port,windows,T1571,medium
2752,The Windows Defender Firewall Service Failed To Load Group Policy,windows,T1686.003,low
2753,Third Party Software DLL Sideloading,windows,T1574.001,medium
2754,Time Travel Debugging Utility Usage,windows,"T1218, T1003.001",high
2755,Time Travel Debugging Utility Usage - Image,windows,"T1218, T1003.001",high
2756,Tomcat WebServer Logs Deleted,windows,T1070,medium
2757,Tor Client/Browser Execution,windows,T1090.003,high
