sl no,Detection Name,Category,TTP,Severity
2577,Suspicious File Created by ArcSOC.exe,windows,"T1127, T1105, T1133",high
2578,Suspicious File Created in Outlook Temporary Directory,windows,T1566.001,high
2579,Suspicious File Created In PerfLogs,windows,T1059,medium
2580,Suspicious File Created Via OneNote Application,windows,,high
2581,Suspicious File Creation Activity From Fake Recycle.Bin Folder,windows,,high
2582,Suspicious File Creation In Uncommon AppData Folder,windows,,high
2583,Suspicious File Download From File Sharing Domain Via Curl.EXE,windows,,high
2584,Suspicious File Download From File Sharing Domain Via Wget.EXE,windows,,high
2585,Suspicious File Download From File Sharing Websites -  File Stream,windows,T1564.004,high
2586,Suspicious File Download From IP Via Curl.EXE,windows,,high
2587,Suspicious File Download From IP Via Wget.EXE,windows,,high
2588,Suspicious File Download From IP Via Wget.EXE - Paths,windows,,high
2589,Suspicious File Downloaded From Direct IP Via Certutil.EXE,windows,"T1027, T1105",high
2590,Suspicious File Downloaded From File-Sharing Website Via Certutil.EXE,windows,"T1027, T1105",high
2591,Suspicious File Drop by Exchange,windows,"T1190, T1505.003",medium
2592,Suspicious File Encoded To Base64 Via Certutil.EXE,windows,T1027,high
2593,Suspicious File Execution From Internet Hosted WebDav Share,windows,T1059.001,high
2594,Suspicious File Write to SharePoint Layouts Directory,windows,"T1190, T1505.003",high
2595,Suspicious File Write to Webapps Root Directory,windows,"T1505.003, T1190",medium
2596,Suspicious FileFix Execution Pattern,windows,T1204.004,high
2597,Suspicious Files in Default GPO Folder,windows,T1036.005,medium
2598,Suspicious FromBase64String Usage On Gzip Archive - Process Creation,windows,T1132.001,medium
2599,Suspicious FromBase64String Usage On Gzip Archive - Ps Script,windows,T1132.001,medium
2600,Suspicious Get Information for SMB Share,windows,T1069.001,low
2601,Suspicious Get Information for SMB Share - PowerShell Module,windows,T1069.001,low
2602,Suspicious Get Local Groups Information,windows,T1069.001,low
2603,Suspicious Get Local Groups Information - PowerShell,windows,T1069.001,low
2604,Suspicious Get-ADDBAccount Usage,windows,T1003.003,high
2605,Suspicious Get-ADReplAccount,windows,T1003.006,medium
2606,Suspicious Get-Variable.exe Creation,windows,"T1546, T1027",high
2607,Suspicious GetTypeFromCLSID ShellExecute,windows,T1546.015,medium
2608,Suspicious Git Clone,windows,T1593.003,medium
2609,Suspicious GPO Discovery With Get-GPO,windows,T1615,low
2610,Suspicious Greedy Compression Using Rar.EXE,windows,T1059,high
2611,Suspicious Group And Account Reconnaissance Activity Using Net.EXE,windows,"T1087.001, T1087.002",medium
2612,Suspicious GrpConv Execution,windows,T1547,high
2613,Suspicious GUP Usage,windows,T1574.001,high
2614,Suspicious HH.EXE Execution,windows,"T1047, T1059.001, T1059.003, T1059.005, T1059.007, T1218, T1218.001, T1218.010, T1218.011, T1566, T1566.001",high
2615,Suspicious High IntegrityLevel Conhost Legacy Option,windows,T1202,informational
2616,Suspicious HWP Sub Processes,windows,"T1566.001, T1203, T1059.003",high
2617,Suspicious Hyper-V Cmdlets,windows,T1564.006,medium
2618,Suspicious IIS Module Registration,windows,T1505.004,high
2619,Suspicious IIS URL GlobalRules Rewrite Via AppCmd,windows,,medium
2620,Suspicious Interactive PowerShell as SYSTEM,windows,T1059.001,high
2621,Suspicious Invoke-Item From Mount-DiskImage,windows,T1553.005,medium
2622,Suspicious Invoke-WebRequest Execution,windows,T1105,high
2623,Suspicious Invoke-WebRequest Execution With DirectIP,windows,T1105,medium
2624,Suspicious IO.FileStream,windows,T1070.003,medium
2625,Suspicious JavaScript Execution Via Mshta.EXE,windows,T1218.005,high
2626,Suspicious Kerberos RC4 Ticket Encryption,windows,T1558.003,medium
2627,Suspicious Kerberos Ticket Request via CLI,windows,T1558.003,high
2628,Suspicious Kerberos Ticket Request via PowerShell Script - ScriptBlock,windows,T1558.003,high
2629,Suspicious Kernel Dump Using Dtrace,windows,T1082,high
2630,Suspicious Key Manager Access,windows,T1555.004,high
2631,Suspicious Keyboard Layout Load,windows,T1588.002,medium
2632,Suspicious LDAP-Attributes Used,windows,T1001.003,high
2633,Suspicious LNK Command-Line Padding with Whitespace Characters,windows,T1204.002,high
2634,Suspicious LNK Double Extension File Created,windows,T1036.007,medium
2635,Suspicious Loading of Dbgcore/Dbghelp DLLs from Uncommon Location,windows,"T1003, T1685",high
2636,Suspicious LSASS Access Via MalSecLogon,windows,T1003.001,high
2637,Suspicious Machine Account Replication - DcSync Indicator,windows,T1003.006,medium
2638,Suspicious Manipulation Of Default Accounts Via Net.EXE,windows,T1560.001,high
2639,Suspicious Microsoft Office Child Process,windows,"T1047, T1204.002, T1218.010",high
2640,Suspicious Microsoft OneNote Child Process,windows,"T1566, T1566.001",high
2641,Suspicious Modification Of Scheduled Tasks,windows,T1053.005,high
2642,Suspicious Mount-DiskImage,windows,T1553.005,low
2643,Suspicious Msbuild Execution By Uncommon Parent Process,windows,,medium
2644,Suspicious MSDT Parent Process,windows,"T1036, T1218",high
2645,Suspicious MSExchangeMailboxReplication ASPX Write,windows,"T1190, T1505.003",high
2646,Suspicious MSHTA Child Process,windows,T1218.005,high
2647,Suspicious Mshta.EXE Execution Patterns,windows,T1106,high
2648,Suspicious MsiExec Embedding Parent,windows,T1218.007,medium
2649,Suspicious Msiexec Execute Arbitrary DLL,windows,T1218.007,medium
2650,Suspicious Msiexec Quiet Install From Remote Location,windows,T1218.007,medium
2651,Suspicious Mstsc.EXE Execution With Local RDP File,windows,T1219.002,high
2652,Suspicious Network Command,windows,T1016,low
2653,Suspicious Network Connection Binary No CommandLine,windows,,high
2654,Suspicious Network Connection to IP Lookup Service APIs,windows,T1016,medium
